AccountReference,Farm,Farm_Name,Field_ID,Field_Name,Contour_ID,Crop_Type,LY_Crop_Type_MAP,DrillingDate,Soil_Type,Variety,Field Ha,Total Yield,ProductName,Applied date,Quantity kg,kg CO2/kg fert,kg CO2/application,Field fert total kg CO2,Fert kg CO2/t grain,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,18-46-00 Di Ammonium Phosphate,05/04/2022,381.46,0.6981,266,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Ammonium Sulphate,26/02/2022,378.95,0.6,227,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Liquid 30-0-0+10SO3,15/03/2022,498.67,1.4,698,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Nitram,30/03/2022,654.72,1.25,818,2010,156.56,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Ammonium Sulphate,26/02/2022,1894.74,0.6,1137,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Liquid 30-0-0+10SO3,15/03/2022,2460.21,1.4,3444,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Nitram,30/03/2022,3273.59,1.25,4092,8673,129.93,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Ammonium Sulphate,28/02/2022,2400,0.6,1440,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Liquid 30-0-0+10SO3,15/03/2022,3244.64,1.4,4542,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Nitram,30/03/2022,4146.55,1.25,5183,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Poultry Manure,29/07/2021,100,,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Sewage Sludge,17/08/2021,31500,,,11166,129.73,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,15,Rose Hill,300,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,18-46-00 Di Ammonium Phosphate,05/04/2022,1335.1,0.6981,932,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,15,Rose Hill,300,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,Liquid 30-0-0+10SO3,21/03/2022,3468.9,1.4,4856,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,15,Rose Hill,300,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,Nitram,10/05/2022,3203.05,1.25,4004,9792,48.10,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,14,Rose Top,301,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,18-46-00 Di Ammonium Phosphate,05/04/2022,1525.83,0.6981,1065,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,14,Rose Top,301,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,Liquid 30-0-0+10SO3,21/03/2022,1418.41,1.4,1986,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,14,Rose Top,301,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,Nitram,10/05/2022,664.63,1.25,831,3882,52.34,
