AccountReference,Farm,Farm_Name,Field_ID,Field_Name,Contour_ID,Crop_Type,LY_Crop_Type_MAP,DrillingDate,Soil_Type,Variety,Field Ha,Total Yield,ProductName,Applied date,Quantity kg,kg CO2/kg fert,kg CO2/application,Field fert total kg CO2,Fert kg CO2/t grain
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,31,Moonlight,520,Barley Winter,Spring Wheat,09/10/2021,Shallow Chalk,SY Thunderbolt,25,241,Nitram,03/05/2022,3507.31,1.25,4384,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,31,Moonlight,520,Barley Winter,Spring Wheat,09/10/2021,Shallow Chalk,SY Thunderbolt,25,241,MOP 60%,13/04/2022,3218.72,0.28,901,5285,21.93
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,51,Mercylands,521,Barley Spring,Winter Wheat,26/03/2022,Medium Chalk,Laureate,20,169,18-46-00 Di Ammonium Phosphate,26/03/2022,1939.39,0.6981,1354,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,51,Mercylands,521,Barley Spring,Winter Wheat,26/03/2022,Medium Chalk,Laureate,20,169,Liquid 30N,02/05/2022,4550,1.06,4823,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,51,Mercylands,521,Barley Spring,Winter Wheat,26/03/2022,Medium Chalk,Laureate,20,169,MOP 60%,19/04/2022,975.37,0.28,273,6450,38.17
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,42,Trenches 05,522,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,Graham,33,332.64,Liquid 30N,15/05/2022,6440,1.06,6826,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,42,Trenches 05,522,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,Graham,33,332.64,MOP 60%,13/04/2022,5559.61,0.28,1557,8383,25.2
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,30,Long Lane 14,523,Barley Winter,Winter Wheat,09/10/2021,Medium Chalk,SY Thunderbolt,7,62.79,Nitram,03/05/2022,982.05,1.25,1228,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,30,Long Lane 14,523,Barley Winter,Winter Wheat,09/10/2021,Medium Chalk,SY Thunderbolt,7,62.79,MOP 60%,13/04/2022,1273.93,0.28,357,1584,25.23
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,40,Leighs Meadow 14,524,Wheat Winter,Winter Oilseed Rape,18/10/2021,Medium Chalk,Graham,20.5,220.785,Nitram,12/05/2022,3931.95,1.25,4915,4915,22.26
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase Grassland,35,Woodsend.,525,Wheat Winter,NULL,15/10/2021,Medium Chalk,Graham,10.5,117.915,Nitram,12/05/2022,1769.38,1.25,2212,2212,18.76
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,19,Neates Field 2016,527,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,Acacia,14,51.8,18-46-00 Di Ammonium Phosphate,14/08/2021,1773.76,0.6981,1238,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,19,Neates Field 2016,527,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,Acacia,14,51.8,Ammonium Sulphate,26/02/2022,1750,0.6,1050,2288,44.17
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase Grassland,34,Kinghams,528,Wheat Winter,NULL,15/10/2021,Medium Chalk,Graham,6.5,75.53,Nitram,12/05/2022,1150.09,1.25,1438,1438,19.03
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,36,18th September,529,Wheat Winter,Winter Oilseed Rape,16/10/2021,Shallow Chalk,Graham,14.5,153.555,Nitram,12/05/2022,2850.66,1.25,3563,3563,23.21
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,33,The Chase.,530,Wheat Winter,Spring Beans,12/10/2021,Medium Chalk,KWS Extase,20,223.2,Nitram,12/05/2022,3538.75,1.25,4423,4423,19.82
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,20,Gaunt Field,531,Rape Winter,Winter Barley,16/08/2021,Medium Chalk,Acacia,24,93.84,18-46-00 Di Ammonium Phosphate,16/08/2021,3040.72,0.6981,2123,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,20,Gaunt Field,531,Rape Winter,Winter Barley,16/08/2021,Medium Chalk,Acacia,24,93.84,Ammonium Sulphate,26/02/2022,3000,0.6,1800,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,20,Gaunt Field,531,Rape Winter,Winter Barley,16/08/2021,Medium Chalk,Acacia,24,93.84,MOP 60%,25/03/2022,1091.94,0.28,306,4228,45.06
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,52,Bomfords.,532,Beans Dried Spring,Spring Barley,29/03/2022,Medium Chalk,Yukon,14,65.66,MOP 60%,19/04/2022,636.97,0.28,178,178,2.71
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,44,Hillwood-,535,Wheat Winter,NULL,26/10/2021,Medium Chalk,KWS Extase,13,111.8,Nitram,10/05/2022,2373.91,1.25,2967,,
