AccountReference,Farm,Farm_Name,Field_ID,Field_Name,Contour_ID,Crop_Type,LY_Crop_Type_MAP,DrillingDate,Soil_Type,Variety,Field Ha,Total Yield,ProductName,Applied date,Quantity kg,kg CO2/kg fert,kg CO2/application,Field fert total kg CO2,Fert kg CO2/t grain,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Baydon Hole FGrp,1,Merricks South,1349,Wheat Winter,Winter Wheat,26/10/2021,Shallow Chalk,KWS Extase,18,161.64,Liquid 30N,14/04/2022,3605,1.06,3821,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Baydon Hole FGrp,1,Merricks South,1349,Wheat Winter,Winter Wheat,26/10/2021,Shallow Chalk,KWS Extase,18,161.64,Nitram,18/05/2022,1900,1.25,2375,6196,38.33,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Baydon Hole FGrp,3,Baydon Hole Field,1353,Barley Spring,Spring Barley,20/03/2022,Shallow Chalk,Laureate,13,102.44,18-46-00 Di Ammonium Phosphate,20/03/2022,1733.33,0.6981,1210,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Baydon Hole FGrp,3,Baydon Hole Field,1353,Barley Spring,Spring Barley,20/03/2022,Shallow Chalk,Laureate,13,102.44,Ammonium Sulphate,15/04/2022,1083.33,0.6,650,1860,18.16,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Baydon Hole FGrp,4,Merricks North,1348,Barley Spring,Spring Barley,21/03/2022,Shallow Chalk,Laureate,18,134.1,18-46-00 Di Ammonium Phosphate,21/03/2022,2400,0.6981,1675,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Baydon Hole FGrp,4,Merricks North,1348,Barley Spring,Spring Barley,21/03/2022,Shallow Chalk,Laureate,18,134.1,Ammonium Sulphate,15/04/2022,1500,0.6,900,2575,19.21,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,18-46-00 Di Ammonium Phosphate,05/04/2022,381.46,0.6981,266,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Ammonium Sulphate,26/02/2022,378.95,0.6,227,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Liquid 30-0-0+10SO3,15/03/2022,498.67,1.4,698,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Nitram,30/03/2022,654.72,1.25,818,2010,156.56,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Ammonium Sulphate,26/02/2022,1894.74,0.6,1137,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Liquid 30-0-0+10SO3,15/03/2022,2460.21,1.4,3444,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm FGrp,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Nitram,30/03/2022,3273.59,1.25,4092,8673,129.93,,
