AccountReference,Farm,Field_Group,Field,Field Name,Crop_Type,LY_Crop_Type_MAP,DrillingDate,Soil_Type,Variety,Field Ha,Total Yield,ProductName,Applied date,Quantity kg
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"1",Merricks South,Wheat Winter,Winter Wheat,26/10/2021,Shallow Chalk,KWS Extase,18,161.64,Liquid 30N,14/04/2022,3605
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"1",Merricks South,Wheat Winter,Winter Wheat,26/10/2021,Shallow Chalk,KWS Extase,18,161.64,Nitram,18/05/2022,1900
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"2",BH The Down,Barley Spring,Spring Barley,20/03/2022,Shallow Chalk,Laureate,5,42.05,18-46-00 Di Ammonium Phosphate,20/03/2022,666.67
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"2",BH The Down,Barley Spring,Spring Barley,20/03/2022,Shallow Chalk,Laureate,5,42.05,Ammonium Sulphate,15/04/2022,416.67
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"3",Baydon Hole Field,Barley Spring,Spring Barley,20/03/2022,Shallow Chalk,Laureate,13,102.44,18-46-00 Di Ammonium Phosphate,20/03/2022,1733.33
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"3",Baydon Hole Field,Barley Spring,Spring Barley,20/03/2022,Shallow Chalk,Laureate,13,102.44,Ammonium Sulphate,15/04/2022,1083.33
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"4",Merricks North,Barley Spring,Spring Barley,21/03/2022,Shallow Chalk,Laureate,18,134.1,18-46-00 Di Ammonium Phosphate,21/03/2022,2400
LAWT0005|CHAS0002|KING0033|KING0034,"1",Baydon Hole FGrp,"4",Merricks North,Barley Spring,Spring Barley,21/03/2022,Shallow Chalk,Laureate,18,134.1,Ammonium Sulphate,15/04/2022,1500
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"5",Point,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,18-46-00 Di Ammonium Phosphate,05/04/2022,381.46
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"5",Point,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Ammonium Sulphate,26/02/2022,378.95
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"5",Point,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Liquid 30-0-0+10SO3,15/03/2022,498.67
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"5",Point,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Nitram,30/03/2022,654.72
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"6",Laines,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Ammonium Sulphate,26/02/2022,1894.74
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"6",Laines,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Liquid 30-0-0+10SO3,15/03/2022,2460.21
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"6",Laines,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Nitram,30/03/2022,3273.59
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"7",Moores,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Ammonium Sulphate,28/02/2022,2400
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"7",Moores,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Liquid 30-0-0+10SO3,15/03/2022,3244.64
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"7",Moores,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Nitram,30/03/2022,4146.55
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"7",Moores,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Poultry Manure,29/07/2021,100
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"7",Moores,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Sewage Sludge,17/08/2021,31500
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"8",Pit Field,Barley Winter,Winter Wheat,24/09/2021,Medium Chalk,SY Armadillo,20,193.2,18-46-00 Di Ammonium Phosphate,05/04/2022,2574.83
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"8",Pit Field,Barley Winter,Winter Wheat,24/09/2021,Medium Chalk,SY Armadillo,20,193.2,Liquid 30-0-0+10SO3,15/03/2022,3264.52
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"8",Pit Field,Barley Winter,Winter Wheat,24/09/2021,Medium Chalk,SY Armadillo,20,193.2,Liquid 30-0-0+10SO3,12/04/2022,3887
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"9",Round Hill,Barley Winter,Winter Wheat,07/10/2021,Medium Chalk,SY Armadillo,19,184.3,18-46-00 Di Ammonium Phosphate,05/04/2022,2860.93
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"9",Round Hill,Barley Winter,Winter Wheat,07/10/2021,Medium Chalk,SY Armadillo,19,184.3,Liquid 30-0-0+10SO3,15/03/2022,3463.22
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"9",Round Hill,Barley Winter,Winter Wheat,07/10/2021,Medium Chalk,SY Armadillo,19,184.3,Liquid 30-0-0+10SO3,12/04/2022,4103
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"10",Chase A,Oats Winter,Winter Wheat,09/10/2021,Medium Chalk,Mascani,21,181.23,18-46-00 Di Ammonium Phosphate,05/04/2022,3528.48
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"10",Chase A,Oats Winter,Winter Wheat,09/10/2021,Medium Chalk,Mascani,21,181.23,Nitram,14/04/2022,1894.74
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"11",Firs Field,Oats Winter,Winter Wheat,11/10/2021,Medium Chalk,Mascani,18,154.98,18-46-00 Di Ammonium Phosphate,05/04/2022,3051.66
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"11",Firs Field,Oats Winter,Winter Wheat,11/10/2021,Medium Chalk,Mascani,18,154.98,Nitram,14/04/2022,1705.26
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"12",Baydon Road,Wheat Winter,Winter Oats,14/10/2021,Shallow Chalk,KWS Extase,32,344,18-46-00 Di Ammonium Phosphate,05/04/2022,2765.56
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"12",Baydon Road,Wheat Winter,Winter Oats,14/10/2021,Shallow Chalk,KWS Extase,32,344,Liquid 30-0-0+10SO3,15/05/2022,6460
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"12",Baydon Road,Wheat Winter,Winter Oats,14/10/2021,Shallow Chalk,KWS Extase,32,344,Liquid 30-0-0+10SO3,21/03/2022,5632
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"13",Park,Wheat Winter,Winter Oilseed Rape,22/10/2021,Medium Chalk,KWS Extase,4,45.36,Liquid 30-0-0+10SO3,21/03/2022,746.58
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"13",Park,Wheat Winter,Winter Oilseed Rape,22/10/2021,Medium Chalk,KWS Extase,4,45.36,Nitram,10/05/2022,332.32
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"14",Rose Top,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,18-46-00 Di Ammonium Phosphate,05/04/2022,1525.83
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"14",Rose Top,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,Liquid 30-0-0+10SO3,21/03/2022,1418.41
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"14",Rose Top,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,Nitram,10/05/2022,664.63
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"15",Rose Hill,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,18-46-00 Di Ammonium Phosphate,05/04/2022,1335.1
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"15",Rose Hill,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,Liquid 30-0-0+10SO3,21/03/2022,3468.9
LAWT0005|CHAS0002|KING0033|KING0034,"1",Chasewoods Farm FGrp,"15",Rose Hill,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,Nitram,10/05/2022,3203.05
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"16",Lower Barn-,Rape Winter,Winter Barley,11/08/2021,Medium Chalk,Aurelia,9.5,29.64,18-46-00 Di Ammonium Phosphate,11/08/2021,1174.83
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"16",Lower Barn-,Rape Winter,Winter Barley,11/08/2021,Medium Chalk,Aurelia,9.5,29.64,Ammonium Sulphate,26/02/2022,1187.5
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"16",Lower Barn-,Rape Winter,Winter Barley,11/08/2021,Medium Chalk,Aurelia,9.5,29.64,MOP 60%,05/04/2022,909.95
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"17",The Down-,Rape Winter,Winter Barley,11/08/2021,Shallow Chalk,Aurelia,17.5,63,Ammonium Sulphate,26/02/2022,2187.5
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"17",The Down-,Rape Winter,Winter Barley,11/08/2021,Shallow Chalk,Aurelia,17.5,63,Poultry Manure,29/07/2021,100
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"18",Church Field,Rape Winter,Winter Barley,13/08/2021,Shallow Chalk,Aurelia,31,105.71,18-46-00 Di Ammonium Phosphate,13/08/2021,3524.48
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"18",Church Field,Rape Winter,Winter Barley,13/08/2021,Shallow Chalk,Aurelia,31,105.71,Ammonium Sulphate,26/02/2022,3875
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"18",Church Field,Rape Winter,Winter Barley,13/08/2021,Shallow Chalk,Aurelia,31,105.71,MOP 60%,25/03/2022,3457.82
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"19",Neates Field 2016,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,Acacia,14,51.8,18-46-00 Di Ammonium Phosphate,14/08/2021,1773.76
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"19",Neates Field 2016,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,Acacia,14,51.8,Ammonium Sulphate,26/02/2022,1750
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"20",Gaunt Field,Rape Winter,Winter Barley,16/08/2021,Medium Chalk,Acacia,24,93.84,18-46-00 Di Ammonium Phosphate,16/08/2021,3040.72
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"20",Gaunt Field,Rape Winter,Winter Barley,16/08/2021,Medium Chalk,Acacia,24,93.84,Ammonium Sulphate,26/02/2022,3000
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"20",Gaunt Field,Rape Winter,Winter Barley,16/08/2021,Medium Chalk,Acacia,24,93.84,MOP 60%,25/03/2022,1091.94
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"21",Hangmans Hill,Rape Winter,Spring Barley,18/08/2021,Shallow Chalk,Acacia,13,55.77,18-46-00 Di Ammonium Phosphate,18/08/2021,1647.06
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"21",Hangmans Hill,Rape Winter,Spring Barley,18/08/2021,Shallow Chalk,Acacia,13,55.77,Ammonium Sulphate,26/02/2022,1625
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"21",Hangmans Hill,Rape Winter,Spring Barley,18/08/2021,Shallow Chalk,Acacia,13,55.77,MOP 60%,25/03/2022,1546.92
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"22",Rooksbury-,Rape Winter,Winter Barley,20/08/2021,Shallow Chalk,Aurelia,11,44.99,18-46-00 Di Ammonium Phosphate,20/08/2021,1174.83
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"22",Rooksbury-,Rape Winter,Winter Barley,20/08/2021,Shallow Chalk,Aurelia,11,44.99,Ammonium Sulphate,26/02/2022,1375
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"22",Rooksbury-,Rape Winter,Winter Barley,20/08/2021,Shallow Chalk,Aurelia,11,44.99,MOP 60%,25/03/2022,682.76
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"23",Masons,Wheat Winter,Spring Beans,27/09/2021,Medium Chalk,KWS Extase,2,19.94,Nitram,10/05/2022,365.22
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"24",News Field,Wheat Winter,Spring Beans,27/09/2021,Medium Chalk,KWS Extase,9,96.66,Nitram,10/05/2022,1460.87
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"25",Sarscens Field,Wheat Winter,Spring Beans,01/10/2021,Medium Chalk,KWS Extase,6,66,Nitram,10/05/2022,1095.65
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"26",Mildenhall Bank,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,Belfry,8,75.36,Nitram,03/05/2022,641.34
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"26",Mildenhall Bank,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,Belfry,8,75.36,MOP 60%,13/04/2022,1267.98
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"27",27 Acres 16,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,11,91.52,Ammonium Sulphate,05/03/2022,800
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"27",27 Acres 16,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,11,91.52,Nitram,03/05/2022,1102.3
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"27",27 Acres 16,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,11,91.52,Nitram,14/03/2022,2376
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"27",27 Acres 16,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,11,91.52,MOP 60%,13/04/2022,1455.92
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"28",The Hook 15,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,Belfry,14,118.72,Nitram,03/05/2022,1964.09
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"28",The Hook 15,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,Belfry,14,118.72,MOP 60%,13/04/2022,1365.52
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"28",38 Acres.,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,14,121.1,Ammonium Sulphate,05/03/2022,1100
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"28",38 Acres.,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,14,121.1,Nitram,03/05/2022,1402.92
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"28",38 Acres.,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,14,121.1,Nitram,14/03/2022,3024
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"28",38 Acres.,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,14,121.1,MOP 60%,13/04/2022,1091.94
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"29",Mildenhalls,Barley Winter,Winter Wheat,08/10/2021,Shallow Chalk,Belfry,23,207,Ammonium Sulphate,05/03/2022,1700
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"29",Mildenhalls,Barley Winter,Winter Wheat,08/10/2021,Shallow Chalk,Belfry,23,207,Nitram,18/03/2022,4800
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"29",Mildenhalls,Barley Winter,Winter Wheat,08/10/2021,Shallow Chalk,Belfry,23,207,MOP 60%,13/04/2022,3608.87
LAWT0005|CHAS0002|KING0033|KING0034,"1",Laines Farm,"30",Long Lane 14,Barley Winter,Winter Wheat,09/10/2021,Medium Chalk,SY Thunderbolt,7,62.79,Nitram,03/05/2022,982.05
